Timestamp,hear_ccm_website,hear_social_media,hear_community_event,hear_family_friend,hear_ccm_student,hear_ccm_alumni,hear_hs_teacher,hear_hs_counselor,hear_inapp_ad,hear_employer,hear_billboard,hear_tv,hear_radio,hear_other,impact_affordable_cost,impact_location,impact_program_choice,impact_online_offerings,impact_referral,impact_faculty_staff,impact_reputation,impact_financial_aid,impact_scholarships,impact_small_classes,impact_extracurricular,impact_transfer_credits,impact_negative_exp,impact_njstars,impact_transferability,impact_hs_college_credit,"Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Open House]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Instant Decision Day]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [On-Campus Information Session]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Virtual Information Session]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Women Who Dare]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Regional College Fair]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [HS Sharetime Information Session]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Challenger Program]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [CyberSecurity Information Protection Program Participation ]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Information Session at my high school]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Campus Visit with my high school]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Campus Visit (individual)]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Workforce Development class]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Corporate Training]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Teen Arts Festival]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Summer camp at CCM]",exp_hs_class,exp_hs_club,exp_competition,exp_afterschool_program,exp_summer_camp,exp_ap_class,exp_dual_enrollment,exp_family_friend_influence,exp_family_in_field,exp_teacher_counselor,exp_employer_influence,exp_ccm_student,exp_work_experience,exp_other,degree_program,What motivated you to seek a computing degree/certificate at CCM? (check all that apply),source_hs_counselor,source_hs_teacher,source_it_website,source_admissions,source_advisor,source_employer,source_ccm_workforce,source_nj_workforce,source_other,interest_level,Race/ethnicity,Age 
2020/07/28 3:21:36 PM EST,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,Don't recall,Don't recall,No Impact,High Impact,Some Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,,No Impact,High Impact,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,"Computer Science, Associate of Science",To get a job in the computing field;Transfer to bachelor's level program;Career Advancement;Career Change;Professional Development;Relocation;To keep current in tech industry;Financial;Personal Enrichment,No,No,Yes,No,Yes,No,No,No,No,,Black/African American,21-24
2020/07/28 4:07:22 PM EST,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,High Impact,High Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,High Impact,No Impact,Not Sure,Not Sure,Not Sure,Not Sure,No,No,No,No,No,No,No,Yes,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,"Information Technology, Applied Associate of Science",To get a job in the computing field;Transfer to bachelor's level program;IT Industry Certifications;Financial,No,No,Yes,No,No,No,No,No,No,,Multi-Racial,25-34
2020/07/28 8:12:47 PM EST,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,High Impact,High Impact,High Impact,High Impact,No Impact,High Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,,,,High Impact,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,High Impact,High Impact,,,,,,"Information Technology, Applied Associate of Science",To get a job in the computing field;Transfer to bachelor's level program;Career Advancement;Career Change;Professional Development;Financial;Personal Enrichment,No,No,Yes,Yes,Yes,No,No,No,No,,Hispanic or Latino,35-64
2020/07/29 10:53:03 AM EST,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,High Impact,High Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,No Impact,High Impact,High Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,Non Degree seeking,,,,,,,,,,,4.0,Asian,18 and younger
2020/07/29 4:26:21 PM EST,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,No Impact,Some Impact,Some Impact,High Impact,No Impact,Some Impact,Some Impact,High Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,"Computer Science, Associate of Science",To get a job in the computing field;Transfer to bachelor's level program;Career Change;IT Industry Certifications,No,No,Yes,Yes,Yes,No,No,No,No,,White/Caucasian,25-34
2020/07/30 1:10:46 PM EST,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,High Impact,Some Impact,Some Impact,No Impact,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,High Impact,,Some Impact,,,High Impact,,High Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,"Computer Science, Associate of Science",To get a job in the computing field;Transfer to bachelor's level program;Career Advancement;Personal Enrichment,Yes,No,Yes,Yes,Don't recall,No,No,No,Yes,,White/Caucasian,19-20
2020/07/30 6:01:39 PM EST,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Web Development Certificate of Achievement,To get a job in the computing field;Career Advancement;Career Change;Professional Development;Financial;Personal Enrichment,No,No,Yes,Yes,No,No,No,No,No,,White/Caucasian,35-64
2020/07/30 7:58:48 PM EST,Yes,Don't recall,Don't recall,Yes,Yes,Don't recall,Don't recall,Don't recall,Don't recall,No,No,No,No,No,,High Impact,High Impact,Some Impact,High Impact,Some Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,,Some Impact,High Impact,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,Some Impact,Some Impact,,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,,"Information Technology, Applied Associate of Science",Transfer to bachelor's level program;Career Advancement;Career Change;IT Industry Certifications,No,No,Yes,Yes,Yes,No,Don't recall,Don't recall,Don't recall,,White/Caucasian,25-34
2020/07/31 1:58:09 PM EST,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,High Impact,High Impact,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,"Information Technology, Applied Associate of Science",To get a job in the computing field;Transfer to bachelor's level program,No,No,No,No,No,No,No,No,No,,Asian,21-24
2020/08/02 7:04:38 PM EST,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,"Computer Science, Associate of Science",To get a job in the computing field,No,No,No,No,No,No,No,No,No,,Asian,21-24
2020/08/03 11:24:59 AM EST,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,High Impact,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Some Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,"Information Technology, Applied Associate of Science","To get a job in the computing field;Transfer to bachelor's level program;Transfer credits back to HS degree (ShareTime, Challenger Program);Financial",Yes,No,No,No,No,No,No,No,No,,White/Caucasian,18 and younger
2020/08/03 12:00:01 PM EST,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,High Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,High Impact,Engineering Science,,,,,,,,,,,5.0,White/Caucasian,25-34
2020/08/03 2:01:43 PM EST,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Some Impact,High Impact,Some Impact,No Impact,High Impact,Some Impact,High Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,High Impact,No Impact,Some Impact,No Impact,,"Digital Media Technology, Applied Associate of Science",To get a job in the computing field,No,No,No,No,No,No,No,No,No,,White/Caucasian,19-20
2020/09/08 10:47:44 PM EST,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,High Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No Impact,No Impact,High Impact,High Impact,No Impact,High Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Undecided,,,,,,,,,,,5.0,Hispanic or Latino,25-34
2020/09/09 9:21:38 AM EST,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Some Impact,High Impact,High Impact,No Impact,Some Impact,High Impact,High Impact,High Impact,Some Impact,,,High Impact,,,High Impact,Some Impact,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,High Impact,High Impact,High Impact,,,High Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,,"Computer Science, Associate of Science",To get a job in the computing field;To keep current in tech industry,No,No,Yes,No,No,No,No,No,Yes,,Hispanic or Latino,18 and younger
2020/09/09 9:27:47 AM EST,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,High Impact,High Impact,Some Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,"Computer Science, Associate of Science",Financial;Something to fall back on if my main career choice falls through.,No,No,Yes,Yes,Yes,No,No,No,No,,Hispanic or Latino,18 and younger
2020/09/09 9:59:49 AM EST,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,,High Impact,,,High Impact,High Impact,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Some Impact,Some Impact,Some Impact,Some Impact,,,,High Impact,High Impact,,,,,,"Computer Science, Associate of Science",To get a job in the computing field;Transfer to bachelor's level program,Yes,No,No,Yes,Yes,No,No,No,No,,White/Caucasian,21-24
2020/09/09 10:15:32 AM EST,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Some Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,High Impact,High Impact,Some Impact,,,High Impact,,Yes,No,Yes,No,No,Yes,No,No,Not Sure,Yes,Yes,No,No,No,No,Yes,High Impact,Some Impact,,,,High Impact,,High Impact,High Impact,High Impact,,,,,"Computer Science, Associate of Science",To get a job in the computing field;Transfer to bachelor's level program;To keep current in tech industry,Don't recall,Yes,Yes,Yes,Yes,Don't recall,Don't recall,Don't recall,Don't recall,,Asian,18 and younger
2020/09/09 10:43:41 AM EST,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Don't recall,Some Impact,Some Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Some Impact,,,,,,,Some Impact,Some Impact,Some Impact,,,,,Non Degree seeking,,,,,,,,,,,5.0,Hispanic or Latino;American Indian/Native American/Alaska Native;White/Caucasian;Multi-Racial,19-20
2020/09/09 12:37:11 PM EST,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Some Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,"Information Technology, Applied Associate of Science",To get a job in the computing field;Transfer to bachelor's level program,No,No,No,No,No,No,No,No,No,,Black/African American,21-24
2020/09/09 12:37:16 PM EST,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,High Impact,High Impact,Some Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,High Impact,Some Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,"Computer Science, Associate of Science",Transfer to bachelor's level program;Personal Enrichment,No,No,No,No,No,No,No,No,No,,White/Caucasian,19-20
2020/09/09 1:21:27 PM EST,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,High Impact,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,High Impact,No Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,"Computer Science, Associate of Science",To get a job in the computing field;To keep current in tech industry;Personal Enrichment,Yes,Yes,No,No,No,No,No,No,No,,White/Caucasian,18 and younger
2020/09/09 2:28:37 PM EST,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Don't recall,High Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,No Impact,High Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Undecided,,,,,,,,,,,3.0,Asian,19-20
2020/09/09 4:18:53 PM EST,No,No,No,Don't recall,No,No,No,Yes,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,Some Impact,High Impact,Some Impact,No Impact,No Impact,Some Impact,,,,,High Impact,High Impact,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Some Impact,Some Impact,,,,,,,,High Impact,,,,,Challenger Program,To get a job in the computing field;Transfer to bachelor's level program;Career Advancement,Yes,No,No,No,No,No,No,No,No,,Asian,18 and younger
2020/09/09 4:47:03 PM EST,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Don't recall,High Impact,High Impact,High Impact,High Impact,High Impact,,,,,,,,,,High Impact,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,High Impact,,,,,,,High Impact,High Impact,,,,,,"Information Technology, Applied Associate of Science",To get a job in the computing field;Transfer to bachelor's level program;Career Advancement;IT Industry Certifications;Financial,Don't recall,Don't recall,Yes,Yes,Yes,Don't recall,Don't recall,Don't recall,Don't recall,,Asian,19-20
2020/09/09 6:34:29 PM EST,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,High Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,High Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Undecided,,,,,,,,,,,5.0,Hispanic or Latino,19-20
2020/09/09 6:35:29 PM EST,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Non Degree seeking,,,,,,,,,,,5.0,Hispanic or Latino,35-64
